date,industry,subindustry,type_of_product,generic_product_type,product,price_sar,company,source,url,unit_of_measurement,total_quantity,volume_liters,price_per_liter
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,"Cetris Multi Purpose Cleaner Spray – Super Strength Degreaser (1 Liter) – Heavy Duty Cleaning Spray for Kitchen, Oven, Bathroom, Carpet, Car Engine, Tires & More.",20.25,Cetris,amazon,https://www.amazon.sa/-/en/Cetris-Multi-Purpose-Cleaner-Spray/dp/B081VN5G5F/ref=sr_1_19?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-19,L,1.0,1.0,20.25
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,"Jif Ultra Fast Cleaner Spray, Multipurpose, 100% stain and mold removal, 470ml",16.95,Jif,amazon,https://www.amazon.sa/-/en/Jif-Ultra-Cleaner-Multipurpose-removal/dp/B0F7XJ5M6V/ref=sr_1_25_f3_0o_othai?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-25,ml,470.0,0.47,36.06382978723404
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,"Zoflora Concentrated Disinfectant - Linen Fresh, 500 ml | Kills 99.9% of Germs | 24-Hour Fragrance | Antibacterial | Multipurpose Cleaner for Home, Kitchen & Bathroom",15.95,Zoflora,amazon,https://www.amazon.sa/-/en/Zoflora-Concentrated-Disinfectant-Antibacterial-Multipurpose/dp/B009SKQ11U/ref=sr_1_27?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-27,ml,500.0,0.5,31.9
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,"Zoflora Multipurpose Cleaner, Midnight Blooms 800ml, Kitchen and Bathroom Cleaner Disinfectant Spray, Surface and Floor Cleaner, Antibacterial, Eliminates Unpleasant Odours",24.75,Zoflora,amazon,https://www.amazon.sa/-/en/Zoflora-Multipurpose-Disinfectant-Antibacterial-Eliminates/dp/B0CY4QZB6H/ref=sr_1_29?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-29,ml,800.0,0.8,30.9375
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,"Mr. Muscle All Purpose Lavender Liquid Floor Cleaner, For Advanced Cleaning & Freshness, 3L",25.0,Mr. Muscle,amazon,https://www.amazon.sa/-/en/Mr-Muscle-Lavender-Advanced-Freshness/dp/B07PH3HV9M/ref=sr_1_30?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-30,L,3.0,3.0,8.333333333333334
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,"Zoflora Concentrated Disinfectant, Lavender 500ml, Floor Cleaner, Kitchen and Bathroom Cleaner, And Multi-purpose Surface Disinfectant",12.0,Zoflora,amazon,https://www.amazon.sa/-/en/Zoflora-Concentrated-Disinfectant-Lavender-Multi-purpose/dp/B0D6NDFD7C/ref=sr_1_31?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-31,ml,500.0,0.5,24.0
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,Ecolunes Fragrance Free All Purpose Cleaner 500 ml,23.5,Ecolunes,amazon,https://www.amazon.sa/-/en/Ecolunes-Fragrance-Free-Purpose-Cleaner/dp/B0BNLBMZ94/ref=sr_1_32?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-32,ml,500.0,0.5,47.0
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,"Method All-Purpose Cleaner Spray, French Lavender, Plant-Based and Biodegradable Formula Perfect for Most Counters, Tiles and More, 28 Fl Oz, (Pack of 1)",101.09,Method,amazon,https://www.amazon.sa/-/en/Method-All-Purpose-Lavender-Plant-Based-Biodegradable/dp/B0013FRRMK/ref=sr_1_34?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-34,fl oz,28.0,28.0,3.610357142857143
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,"Al Emlaq Super Gel – Multi-Purpose General Cleaner with Pine Scent – Ideal for Floors, Surfaces, Bathrooms & Toilets – 500g",8.95,Al Emlaq,amazon,https://www.amazon.sa/-/en/Al-Emlaq-Super-Gel-Multi-Purpose/dp/B07Q1N751T/ref=sr_1_38?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-38,g,500.0,500.0,0.0179
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,"Fantastik All-Purpose Cleaner, With Bleach, 32 Fl Oz",34.75,Fantastik,amazon,https://www.amazon.sa/-/en/Fantastik-All-Purpose-Cleaner-Bleach-32/dp/B005Y2WVUG/ref=sr_1_39?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-39,fl oz,32.0,32.0,1.0859375
