External ID,Product_ID,Product_Name,Label_Product_Name,Presentation,Volume_Liters,Pack_quantity_Units,Type_of_product,Category,Generic product type,SubIndustry,Industry, Bottle , Label ,Liquid, Microfibers , Plastic bag , Labor , Shipping , Other costs , Unit_cost_SAR 
,FP-AVI-00203,WAYAKIT GreenTech Aviation Leather conditioner [Box of 12 units 700 mL],Leather conditioner,Box of 12 units 700 mL,8.4,0,A1-Leather conditioner,Aviation - 1. Aircraft interior cleaners,Leather and vinyl conditioner,Aviation,Transportation,18,14.52,93.3534,0,0,12,,,137.8734
product_template_429,FP-AVI-00300,WAYAKIT GreenTech Aviation Deep cleaning and disinfecting wet rags [Pack of 20 wet rags],Deep cleaning and disinfecting wet rags,Pack of 20 wet rags,0,20,A1-Wet wipes for various cleaning purposes,Aviation - 1. Aircraft interior cleaners,Cleaning wet wipes,Aviation,Transportation,0,0.25,0,5,0.63,3.13,,,9.01
product_template_612,FP-AVI-00301,WAYAKIT GreenTech Aviation Turn around cleaning and disinfecting wet rags [Pack of 20 wet rags],Turn around cleaning and disinfecting wet rags,Pack of 20 wet rags,0,20,A1-Wet wipes for various cleaning purposes,Aviation - 1. Aircraft interior cleaners,Cleaning wet wipes,Aviation,Transportation,0,0.25,0,5,0.63,3.13,,,9.01
product_template_643,FP-AVI-00400,WAYAKIT GreenTech Aviation Broad-spectrum disinfectant and cleaner for surfaces [700 mL],Broad-spectrum disinfectant and cleaner for surfaces,700 mL,0.7,0,A2-Broad-spectrum disinfectant for surfaces,Aviation - 2. Aircraft disinfectants and sanitizers,Disinfectant and cleaner,Aviation,Transportation,1.5,1.21,0.931,0,0,1,,,4.641
product_template_644,FP-AVI-00401,WAYAKIT GreenTech Aviation Broad-spectrum disinfectant and cleaner for surfaces [4 L],Broad-spectrum disinfectant and cleaner for surfaces,4 L,4,0,A2-Broad-spectrum disinfectant for surfaces,Aviation - 2. Aircraft disinfectants and sanitizers,Disinfectant and cleaner,Aviation,Transportation,4,4.84,5.32,0,0,1,,,15.16
product_template_645,FP-AVI-00402,WAYAKIT GreenTech Aviation Broad-spectrum disinfectant and cleaner for surfaces [20 L],Broad-spectrum disinfectant and cleaner for surfaces,20 L,20,0,A2-Broad-spectrum disinfectant for surfaces,Aviation - 2. Aircraft disinfectants and sanitizers,Disinfectant and cleaner,Aviation,Transportation,8,4.84,26.6,0,0,1,,,40.44
product_template_646,FP-AVI-00403,WAYAKIT GreenTech Aviation Broad-spectrum disinfectant and cleaner for surfaces [Box of 12 units 700 mL],Broad-spectrum disinfectant and cleaner for surfaces,Box of 12 units 700 mL,8.4,0,A2-Broad-spectrum disinfectant for surfaces,Aviation - 2. Aircraft disinfectants and sanitizers,Disinfectant and cleaner,Aviation,Transportation,18,14.52,11.172,0,0,12,,,55.692
,FP-AVI-00500,WAYAKIT GreenTech Aviation Streak-free window cleaner [700 mL],Streak-free window cleaner,700 mL,0.7,0,A3-Streak-free window cleaner,Aviation - 3. Aicraft glass and mirror cleaners,Glass cleaner,Aviation,Transportation,1.5,1.21,1.197,0,0,1,,,4.907
,FP-AVI-00501,WAYAKIT GreenTech Aviation Streak-free window cleaner [4 L],Streak-free window cleaner,4 L,4,0,A3-Streak-free window cleaner,Aviation - 3. Aicraft glass and mirror cleaners,Glass cleaner,Aviation,Transportation,4,4.84,6.84,0,0,1,,,16.68
,FP-AVI-00502,WAYAKIT GreenTech Aviation Streak-free window cleaner [20 L],Streak-free window cleaner,20 L,20,0,A3-Streak-free window cleaner,Aviation - 3. Aicraft glass and mirror cleaners,Glass cleaner,Aviation,Transportation,8,4.84,34.2,0,0,1,,,48.04
,FP-AVI-00503,WAYAKIT GreenTech Aviation Streak-free window cleaner [Box of 12 units 700 mL],Streak-free window cleaner,Box of 12 units 700 mL,8.4,0,A3-Streak-free window cleaner,Aviation - 3. Aicraft glass and mirror cleaners,Glass cleaner,Aviation,Transportation,18,14.52,14.364,0,0,12,,,58.884
,FP-AVI-00600,WAYAKIT GreenTech Aviation Cockpit glass cleaner [700 mL],Cockpit glass cleaner,700 mL,0.7,0,A3-Cockpit glass cleaner,Aviation - 3. Aicraft glass and mirror cleaners,Glass cleaner,Aviation,Transportation,1.5,1.21,1.197,0,0,1,,,4.907
,FP-AVI-00601,WAYAKIT GreenTech Aviation Cockpit glass cleaner [4 L],Cockpit glass cleaner,4 L,4,0,A3-Cockpit glass cleaner,Aviation - 3. Aicraft glass and mirror cleaners,Glass cleaner,Aviation,Transportation,4,4.84,6.84,0,0,1,,,16.68
,FP-AVI-00602,WAYAKIT GreenTech Aviation Cockpit glass cleaner [20 L],Cockpit glass cleaner,20 L,20,0,A3-Cockpit glass cleaner,Aviation - 3. Aicraft glass and mirror cleaners,Glass cleaner,Aviation,Transportation,8,4.84,34.2,0,0,1,,,48.04
,FP-AVI-00603,WAYAKIT GreenTech Aviation Cockpit glass cleaner [Box of 12 units 700 mL],Cockpit glass cleaner,Box of 12 units 700 mL,8.4,0,A3-Cockpit glass cleaner,Aviation - 3. Aicraft glass and mirror cleaners,Glass cleaner,Aviation,Transportation,18,14.52,14.364,0,0,12,,,58.884
,FP-AVI-00700,WAYAKIT GreenTech Aviation Mirror and plexiglass cleaner [700 mL],Mirror and plexiglass cleaner,700 mL,0.7,0,A3-Mirror and plexiglass cleaner,Aviation - 3. Aicraft glass and mirror cleaners,Glass cleaner,Aviation,Transportation,1.5,1.21,1.197,0,0,1,,,4.907
,FP-AVI-00701,WAYAKIT GreenTech Aviation Mirror and plexiglass cleaner [4 L],Mirror and plexiglass cleaner,4 L,4,0,A3-Mirror and plexiglass cleaner,Aviation - 3. Aicraft glass and mirror cleaners,Glass cleaner,Aviation,Transportation,4,4.84,6.84,0,0,1,,,16.68
,FP-AVI-00702,WAYAKIT GreenTech Aviation Mirror and plexiglass cleaner [20 L],Mirror and plexiglass cleaner,20 L,20,0,A3-Mirror and plexiglass cleaner,Aviation - 3. Aicraft glass and mirror cleaners,Glass cleaner,Aviation,Transportation,8,4.84,34.2,0,0,1,,,48.04
,FP-AVI-00703,WAYAKIT GreenTech Aviation Mirror and plexiglass cleaner [Box of 12 units 700 mL],Mirror and plexiglass cleaner,Box of 12 units 700 mL,8.4,0,A3-Mirror and plexiglass cleaner,Aviation - 3. Aicraft glass and mirror cleaners,Glass cleaner,Aviation,Transportation,18,14.52,14.364,0,0,12,,,58.884
,FP-AVI-00800,WAYAKIT GreenTech Aviation Lavatory disinfectant [700 mL],Lavatory disinfectant,700 mL,0.7,0,A4-Lavatory disinfectant,Aviation - 4. Aicraft restroom maintenance products,Disinfectant and cleaner,Aviation,Transportation,1.5,1.21,0.931,0,0,1,,,4.641
