External ID,Product_ID,Product_Name,Label_Product_Name,Presentation,Volume_Liters,Pack_quantity_Units,Type_of_product,Category,Generic product type,SubIndustry,Industry, Bottle , Label ,Liquid, Microfibers , Plastic bag , Labor , Shipping , Other costs , Unit_cost_SAR 
product_template_314,FP-FAI-01001,WAYAKIT GreenTech Faith broad-spectrum cleaner and disinfectant for surfaces [4 L],broad-spectrum cleaner and disinfectant for surfaces,4 L,4.0,0.0,"I4-Broad-spectrum disinfectant for surfaces, shoe racks and storage areas",Faith - 4. Disinfectants and sanitizers,Disinfectant and cleaner,Faith,Facilities management,4,4.84,5.32,0,0,1,,,15.16
product_template_315,FP-FAI-01002,WAYAKIT GreenTech Faith broad-spectrum cleaner and disinfectant for surfaces [20 L],broad-spectrum cleaner and disinfectant for surfaces,20 L,20.0,0.0,"I4-Broad-spectrum disinfectant for surfaces, shoe racks and storage areas",Faith - 4. Disinfectants and sanitizers,Disinfectant and cleaner,Faith,Facilities management,8,4.84,26.6,0,0,1,,,40.44
product_template_443,FP-FAI-01003,WAYAKIT GreenTech Faith broad-spectrum cleaner and disinfectant for surfaces [Pack of 20 wet rags],broad-spectrum cleaner and disinfectant for surfaces,Pack of 20 wet rags,0.0,20.0,"I4-Broad-spectrum disinfectant for surfaces, shoe racks and storage areas",Faith - 4. Disinfectants and sanitizers,Disinfectant and cleaner,Faith,Facilities management,0,0.25,0.0,5,0.63,3.13,,,9.01
product_template_444,FP-FAI-01004,WAYAKIT GreenTech Faith broad-spectrum cleaner and disinfectant for surfaces [Box of 12 units 700 mL],broad-spectrum cleaner and disinfectant for surfaces,Box of 12 units 700 mL,8.4,0.0,"I4-Broad-spectrum disinfectant for surfaces, shoe racks and storage areas",Faith - 4. Disinfectants and sanitizers,Disinfectant and cleaner,Faith,Facilities management,18,14.52,11.172,0,0,12,,,55.692
product_template_325,FP-FAI-01400,WAYAKIT GreenTech Faith air freshener [700 mL],air freshener,700 mL,0.7,0.0,I6-Restroom air freshener,Faith - 6. Restroom cleaners,Air freshener,Faith,Facilities management,1.5,1.21,1.708,0,0,1,,,5.418
product_template_326,FP-FAI-01401,WAYAKIT GreenTech Faith air freshener [4 L],air freshener,4 L,4.0,0.0,I6-Restroom air freshener,Faith - 6. Restroom cleaners,Air freshener,Faith,Facilities management,4,4.84,9.76,0,0,1,,,19.6
product_template_327,FP-FAI-01402,WAYAKIT GreenTech Faith air freshener [20 L],air freshener,20 L,20.0,0.0,I6-Restroom air freshener,Faith - 6. Restroom cleaners,Air freshener,Faith,Facilities management,8,4.84,48.8,0,0,1,,,62.64
product_template_448,FP-FAI-01403,WAYAKIT GreenTech Faith air freshener [Box of 12 units 700 mL],air freshener,Box of 12 units 700 mL,8.4,0.0,I6-Restroom air freshener,Faith - 6. Restroom cleaners,Air freshener,Faith,Facilities management,18,14.52,20.496,0,0,12,,,65.016
product_template_328,FP-FAI-01500,WAYAKIT GreenTech Faith shower and tile cleaner [700 mL],shower and tile cleaner,700 mL,0.7,0.0,I6-Shower and tile cleaner,Faith - 6. Restroom cleaners,"Toilet, shower and tile cleaner",Faith,Facilities management,1.5,1.21,0.931,0,0,1,,,4.641
product_template_329,FP-FAI-01501,WAYAKIT GreenTech Faith shower and tile cleaner [4 L],shower and tile cleaner,4 L,4.0,0.0,I6-Shower and tile cleaner,Faith - 6. Restroom cleaners,"Toilet, shower and tile cleaner",Faith,Facilities management,4,4.84,5.32,0,0,1,,,15.16
product_template_330,FP-FAI-01502,WAYAKIT GreenTech Faith shower and tile cleaner [20 L],shower and tile cleaner,20 L,20.0,0.0,I6-Shower and tile cleaner,Faith - 6. Restroom cleaners,"Toilet, shower and tile cleaner",Faith,Facilities management,8,4.84,26.6,0,0,1,,,40.44
product_template_449,FP-FAI-01503,WAYAKIT GreenTech Faith shower and tile cleaner [Box of 12 units 700 mL],shower and tile cleaner,Box of 12 units 700 mL,8.4,0.0,I6-Shower and tile cleaner,Faith - 6. Restroom cleaners,"Toilet, shower and tile cleaner",Faith,Facilities management,18,14.52,11.172,0,0,12,,,55.692
product_template_331,FP-FAI-01600,WAYAKIT GreenTech Faithstreak-free glass cleaner for large window areas [700 mL],streak-free glass cleaner for large window areas,700 mL,0.7,0.0,I7-Streak-free glass cleaner for large window areas,Faith - 7. Glass and window cleaners,Glass cleaner,Faith,Facilities management,1.5,1.21,1.197,0,0,1,,,4.907
product_template_332,FP-FAI-01601,WAYAKIT GreenTech Faithstreak-free glass cleaner for large window areas [4 L],streak-free glass cleaner for large window areas,4 L,4.0,0.0,I7-Streak-free glass cleaner for large window areas,Faith - 7. Glass and window cleaners,Glass cleaner,Faith,Facilities management,4,4.84,6.84,0,0,1,,,16.68
product_template_333,FP-FAI-01602,WAYAKIT GreenTech Faithstreak-free glass cleaner for large window areas [20 L],streak-free glass cleaner for large window areas,20 L,20.0,0.0,I7-Streak-free glass cleaner for large window areas,Faith - 7. Glass and window cleaners,Glass cleaner,Faith,Facilities management,8,4.84,34.2,0,0,1,,,48.04
product_template_450,FP-FAI-01603,WAYAKIT GreenTech Faithstreak-free glass cleaner for large window areas [Box of 12 units 700 mL],streak-free glass cleaner for large window areas,Box of 12 units 700 mL,8.4,0.0,I7-Streak-free glass cleaner for large window areas,Faith - 7. Glass and window cleaners,Glass cleaner,Faith,Facilities management,18,14.52,14.364,0,0,12,,,58.884
product_template_334,FP-FAI-01700,WAYAKIT GreenTech Faith degreaser for food service areas [700 mL],degreaser for food service areas,700 mL,0.7,0.0,I8-Degreaser for food service areas,Faith - 8. Kitchen and food service cleaners,Degreaser,Faith,Facilities management,1.5,1.21,0.72275,0,0,1,,,4.43275
product_template_335,FP-FAI-01701,WAYAKIT GreenTech Faith degreaser for food service areas [4 L],degreaser for food service areas,4 L,4.0,0.0,I8-Degreaser for food service areas,Faith - 8. Kitchen and food service cleaners,Degreaser,Faith,Facilities management,4,4.84,4.13,0,0,1,,,13.97
product_template_336,FP-FAI-01702,WAYAKIT GreenTech Faith degreaser for food service areas [20 L],degreaser for food service areas,20 L,20.0,0.0,I8-Degreaser for food service areas,Faith - 8. Kitchen and food service cleaners,Degreaser,Faith,Facilities management,8,4.84,20.65,0,0,1,,,34.49
product_template_451,FP-FAI-01703,WAYAKIT GreenTech Faith degreaser for food service areas [Box of 12 units 700 mL],degreaser for food service areas,Box of 12 units 700 mL,8.4,0.0,I8-Degreaser for food service areas,Faith - 8. Kitchen and food service cleaners,Degreaser,Faith,Facilities management,18,14.52,8.673,0,0,12,,,53.193
product_template_337,FP-FAI-01800,WAYAKIT GreenTech Faith grill cleaner [700 mL],grill cleaner,700 mL,0.7,0.0,I8-Grill cleaner,Faith - 8. Kitchen and food service cleaners,Degreaser,Faith,Facilities management,1.5,1.21,0.72275,0,0,1,,,4.43275
product_template_338,FP-FAI-01801,WAYAKIT GreenTech Faith grill cleaner [4 L],grill cleaner,4 L,4.0,0.0,I8-Grill cleaner,Faith - 8. Kitchen and food service cleaners,Degreaser,Faith,Facilities management,4,4.84,4.13,0,0,1,,,13.97
product_template_339,FP-FAI-01802,WAYAKIT GreenTech Faith grill cleaner [20 L],grill cleaner,20 L,20.0,0.0,I8-Grill cleaner,Faith - 8. Kitchen and food service cleaners,Degreaser,Faith,Facilities management,8,4.84,20.65,0,0,1,,,34.49
product_template_452,FP-FAI-01803,WAYAKIT GreenTech Faith grill cleaner [Box of 12 units 700 mL],grill cleaner,Box of 12 units 700 mL,8.4,0.0,I8-Grill cleaner,Faith - 8. Kitchen and food service cleaners,Degreaser,Faith,Facilities management,18,14.52,8.673,0,0,12,,,53.193
product_template_340,FP-FAI-01900,WAYAKIT GreenTech Faith oven and appliance cleaner [700 mL],oven and appliance cleaner,700 mL,0.7,0.0,I8-Oven and appliance cleaner,Faith - 8. Kitchen and food service cleaners,Degreaser,Faith,Facilities management,1.5,1.21,0.72275,0,0,1,,,4.43275
