Quotation date,Customer name,Channel (B2B or B2C),product_code,Odoo sales order,WAYAKIT Product name,Generic product type,Subindustry,Industry,Volume (L),Cost per unit (SAR),Predicted model price per unit (SAR),Predicted price per mL,Prediction message,Prediction case,Quoted quantity,quoted_price,Total quoted price (SAR),Quoted unit profit (SAR),Quoted margin (%),Price per liter,Total volume [L],Total profit,Absolute price difference (Quoted-Predicted),Percentage price difference (quoted/predicted),Notes about prediction vs quoted,"Accepted quoted price by client (Yes, No, Pending)",Confirmed order,Invoice date,Sold quantity,Sold price per unit (SAR),Total sold price (SAR),Sold unit profit (SAR),Sold margin (%),Absolute price difference (Sold-Predicted),Percentage price difference (sold/predicted),suggested_price,percentage_difference,Luisa_Javier_Prediction_Note
15/03/2025,Saqifat Alsafa,B2B,FP-FMN-02301,S00916,WAYAKIT GreenTech Facilities Management Stainless steel polish and cleaner for fixtures and fittings [4 L],Stainless steel cleaner,Facilities management,Facilities management,4.0, SAR 15.14 , SAR 125.51 , SAR 0.031 ,Price based on direct competition - Price viable with 728.9% profit margin,1,2.0,84.22, SAR 168.45 , SAR 69.08 ,82%, SAR 21.06 , 8.0 , SAR 138.16 , SAR (41.29),-33%,Wrong prediction,Yes,Yes,24/07/2025,2.0, SAR 84.22 , SAR 168.45 , SAR 69.08 ,82%, SAR (41.29),-33%,83.57,0.007777910733516881,Well prediction
15/03/2025,Saqifat Alsafa,B2B,FP-FMN-02401,S00916,WAYAKIT GreenTech Facilities Management Escalator cleaner [4 L],General purpose cleaner,Facilities management,Facilities management,4.0, SAR 15.16 , SAR 133.00 , SAR 0.033 ,"Price based on median generic product type - B2B: 0.0333 SAR/ml = 133.00 SAR, B2C: 0.0366 SAR/ml = 146.44 SAR. Price viable with 777.3% profit margin",3,1.0,69.2, SAR 69.20 , SAR 54.04 ,78%, SAR 17.30 , 4.0 , SAR 54.04 , SAR (63.81),-48%,Wrong prediction,Yes,Yes,24/07/2025,1.0, SAR 69.20 , SAR 69.20 , SAR 54.04 ,78%, SAR (63.81),-48%,69.08,0.0017371163867979814,Well prediction
15/03/2025,Saqifat Alsafa,B2B,FP-FMN-02501,S00916,WAYAKIT GreenTech Facilities Management Escalator tread brightener [4 L],Surface lubricant and protectant,Facilities management,Facilities management,4.0, SAR 15.14 ," SAR 1,066.67 ", SAR 0.267 ,"Price based on median generic product type - B2B: 0.2667 SAR/ml = 1066.67 SAR, B2C: 0.1861 SAR/ml = 744.55 SAR. Price viable with 6944.4% profit margin",3,1.0,81.36, SAR 81.36 , SAR 66.22 ,81%, SAR 20.34 , 4.0 , SAR 66.22 , SAR (985.31),-92%,Wrong prediction,Yes,Yes,24/07/2025,1.0, SAR 81.36 , SAR 81.36 , SAR 66.22 ,81%, SAR (985.31),-92%,81.43,-0.0008596340415081343,Well prediction
15/03/2025,Saqifat Alsafa,B2B,FP-FMN-02901,S00916,WAYAKIT GreenTech Facilities Management Fabric refresher [4 L],Fabric refresher,Facilities management,Facilities management,4.0, SAR 36.72 , SAR 837.41 , SAR 0.209 ,Estimated price based on subindustry difference - products of Facilities management are 143.9% more expensive than Home. Price viable with 2180.5% profit margin,2,2.0,101.16, SAR 202.32 , SAR 64.44 ,64%, SAR 25.29 , 8.0 , SAR 128.88 , SAR (736.25),-88%,Wrong prediction,Yes,Yes,24/07/2025,2.0, SAR 101.16 , SAR 202.32 , SAR 64.44 ,64%, SAR (736.25),-88%,130.02,-0.22196585140747585,Wrong prediction
15/03/2025,Saqifat Alsafa,B2B,FP-FMN-03100,S00916,WAYAKIT GreenTech FM Foam Hand Soap [4 L],Hand soap,Facilities management,Facilities management,4.0, SAR 18.24 , SAR 69.38 , SAR 0.017 ,"Price based on median generic product type - B2B: 0.0173 SAR/ml = 69.38 SAR, B2C: 0.0192 SAR/ml = 76.67 SAR. Price viable with 280.4% profit margin",3,9.0,31.37, SAR 282.31 , SAR 13.13 ,42%, SAR 7.84 , 36.0 , SAR 118.15 , SAR (38.02),-55%,Wrong prediction,Yes,Yes,24/07/2025,9.0, SAR 31.37 , SAR 282.31 , SAR 13.13 ,42%, SAR (38.02),-55%,45.2,-0.30597345132743364,Wrong prediction
15/03/2025,Saqifat Alsafa,B2B,FP-FMN-03201,S00916,WAYAKIT GreenTech FM Parking Floor Cleaner [4 L],Parking floor cleaner,Facilities management,Facilities management,4.0, SAR 15.16 , SAR 91.57 , SAR 0.023 ,No product type. The median of Facilities management is 0.0229 SAR/ml and the recommended price per ml is 0.0229 SAR/ml. Price viable with 504.0% profit margin,4,8.0,82.5, SAR 660.00 , SAR 67.34 ,82%, SAR 20.63 , 32.0 , SAR 538.72 , SAR (9.07),-10%,Wrong prediction,Yes,Yes,24/07/2025,8.0, SAR 82.50 , SAR 660.00 , SAR 67.34 ,82%, SAR (9.07),-10%,82.07,0.005239429755087204,Well prediction
15/07/2025,Clarion hotels,B2B,FP-HOT-04903,S00938,WAYAKIT GreenTech Hotels Leather cleaner [Box of 12 units 700 mL],Leather and vinyl cleaner,Hotels,Horeca,8.4, SAR 55.69 , SAR 898.74 , SAR 0.107 ,Estimated price based on subindustry difference - products of Hotels are 0.0% cheaper than Home. Price viable with 1513.8% profit margin,2,4.0,211.08, SAR 844.32 , SAR 155.39 ,74%, SAR 25.13 , 33.6 , SAR 621.55 , SAR (687.66),-77%,Wrong prediction,No,Yes,15/07/2025,4.0, SAR 200.53 , SAR 802.12 , SAR 144.84 ,72%, SAR (698.21),-78%,89.88,1.348464619492657,Wrong prediction
15/07/2025,Clarion hotels,B2B,FP-HOT-04700,S00938,WAYAKIT GreenTech Hotels White sponge for surface cleaning [1 unit],Sponge,Hotels,Horeca,0.0, SAR 0.50 , SAR -   , SAR -   ,No prediction,No prediction,220.0,1.5, SAR 330.00 , SAR 1.00 ,67%, SAR -   , -   , SAR 220.00 , SAR 1.50 ,,No information for prediction,Yes,Yes,15/07/2025,220.0, SAR 1.50 , SAR 330.00 , SAR 1.00 ,67%, SAR 1.50 ,,,,No information for prediction
15/07/2025,VoltBox,B2B,FP-SPO-01300,,WAYAKIT GreenTech Sports Broad-spectrum disinfectant for surfaces [700 mL],Disinfectant and cleaner,Gyms,Facilities management,0.7, SAR 4.64 , SAR 20.49 , SAR 0.029 ,Estimated price based on subindustry difference - products of Gyms are 0.0% cheaper than Aviation. Price viable with 341.5% profit margin,2,1.0,34.51, SAR 34.51 , SAR 29.87 ,87%, SAR 49.30 , 0.7 , SAR 29.87 , SAR 14.02 ,68%,Wrong prediction,Yes,Yes,4/8/2025,6.0, SAR 34.51 , SAR 207.06 , SAR 29.87 ,87%, SAR 14.02 ,68%,34.56,-0.0014467592592593826,Well prediction
15/07/2025,VoltBox,B2B,FP-SPO-02101,,WAYAKIT GreenTech Sports Extreme odor neutralizer and cleaner [4 L],Odor eliminator,Gyms,Facilities management,4.0, SAR 26.72 , SAR 197.18 , SAR 0.049 ,"Price based on median generic product type - B2B: 0.0493 SAR/ml = 197.18 SAR, B2C: 0.1437 SAR/ml = 574.84 SAR. Price viable with 637.9% profit margin",3,1.0,187.32, SAR 187.32 , SAR 160.60 ,86%, SAR 46.83 , 4.0 , SAR 160.60 , SAR (9.86),-5%,Well prediction,Pending,,,,,  ,  ,,  ,,,,No information for prediction
