Quotation date,Customer name,Channel (B2B or B2C),product_code,Odoo sales order,WAYAKIT Product name,Generic product type,Subindustry,Industry,Volume (L),Cost per unit (SAR),Predicted model price per unit (SAR),Predicted price per mL,Prediction message,Prediction case,Quoted quantity,quoted_price,Total quoted price (SAR),Quoted unit profit (SAR),Quoted margin (%),Price per liter,Total volume [L],Total profit,Absolute price difference (Quoted-Predicted),Percentage price difference (quoted/predicted),Notes about prediction vs quoted,"Accepted quoted price by client (Yes, No, Pending)",Confirmed order,Invoice date,Sold quantity,Sold price per unit (SAR),Total sold price (SAR),Sold unit profit (SAR),Sold margin (%),Absolute price difference (Sold-Predicted),Percentage price difference (sold/predicted),suggested_price,percentage_difference,Luisa_Javier_Prediction_Note
7/14/2025,Barns,B2B,FP-RES-02201,,WAYAKIT GreenTech Food Services Gel hand sanitizer [4 L],Hand sanitizer,Restaurants,Horeca,4.0, SAR 55.24 , SAR 71.81 , SAR 0.018 ,"Price based on median generic product type - B2B: 0.0135 SAR/ml = 54.00 SAR, B2C: 0.0540 SAR/ml = 215.90 SAR. Low predicted price. Using minimum viable price with 30% profit margin.",3,4000.0,57.12," SAR 228,480.00 ", SAR 1.88 ,3%, SAR 14.28 ," 16,000.0 "," SAR 7,520.00 ", SAR (14.69),-20%,Wrong prediction,Pending,,,,,  ,  ,,  ,,89.41,-0.361145285762219,Wrong prediction
4/30/2025,Armah Sports,B2B,FP-SPO-00101,,"WAYAKIT GreenTech Sports Multi-surface cleaner for equipment, benches, and countertops [4 L]",General purpose cleaner,Gyms,Facilities management,4.0, SAR 15.16 , SAR 133.00 , SAR 0.033 ,"Price based on median generic product type - B2B: 0.0333 SAR/ml = 133.00 SAR, B2C: 0.0366 SAR/ml = 146.44 SAR. Price viable with 777.3% profit margin",3,1.0,173.87, SAR 173.87 , SAR 158.71 ,91%, SAR 43.47 , 4.0 , SAR 158.71 , SAR 40.87 ,31%,Well prediction,Pending,,,,,  ,  ,,  ,,59.05,1.9444538526672315,Wrong prediction
4/30/2025,Armah Sports,B2B,FP-SPO-01001,,WAYAKIT GreenTech Sports Toilet bowl and urinal cleaner [4 L],"Toilet, shower and tile cleaner",Gyms,Facilities management,4.0, SAR 23.08 , SAR 94.79 , SAR 0.024 ,"Price based on median generic product type - B2B: 0.0237 SAR/ml = 94.79 SAR, B2C: 0.0317 SAR/ml = 126.70 SAR. Price viable with 310.7% profit margin",3,1.0,230.02, SAR 230.02 , SAR 206.94 ,90%, SAR 57.50 , 4.0 , SAR 206.94 , SAR 135.22 ,143%,Wrong prediction,Pending,,,,,  ,  ,,  ,,,,No information for prediction
4/30/2025,Armah Sports,B2B,FP-SPO-00301,,WAYAKIT GreenTech Sports Streak-free glass cleaner for mirrors and windows [4 L],Glass cleaner,Gyms,Facilities management,4.0, SAR 16.68 , SAR 85.44 , SAR 0.021 ,"Price based on median generic product type - B2B: 0.0214 SAR/ml = 85.44 SAR, B2C: 0.0438 SAR/ml = 175.33 SAR. Price viable with 412.2% profit margin",3,1.0,102.5, SAR 102.50 , SAR 85.82 ,84%, SAR 25.63 , 4.0 , SAR 85.82 , SAR 17.06 ,20%,Well prediction,Pending,,,,,  ,  ,,  ,,59.05,0.7358171041490263,Wrong prediction
4/30/2025,Armah Sports,B2B,FP-HOT-02601,,WAYAKIT GreenTech Hotels Stainless steel polish for equipment and fixtures [4 L],Stainless steel cleaner,Hotels,Horeca,4.0, SAR 15.14 , SAR 108.45 , SAR 0.027 ,"Price based on median generic product type - B2B: 0.0271 SAR/ml = 108.45 SAR, B2C: 0.0831 SAR/ml = 332.41 SAR. Price viable with 616.2% profit margin",3,1.0,236.1, SAR 236.10 , SAR 220.96 ,94%, SAR 59.03 , 4.0 , SAR 220.96 , SAR 127.65 ,118%,Wrong prediction,Pending,,,,,  ,  ,,  ,,59.05,2.9983065198983914,Wrong prediction
4/30/2025,Armah Sports,B2B,FP-SPO-02201,,WAYAKIT GreenTech Sports Sewage odor control spray [4 L],Odor eliminator,Gyms,Facilities management,4.0, SAR 26.72 , SAR 197.18 , SAR 0.049 ,"Price based on median generic product type - B2B: 0.0493 SAR/ml = 197.18 SAR, B2C: 0.1437 SAR/ml = 574.84 SAR. Price viable with 637.9% profit margin",3,1.0,230.02, SAR 230.02 , SAR 203.30 ,88%, SAR 57.50 , 4.0 , SAR 203.30 , SAR 32.84 ,17%,Well prediction,Pending,,,,,  ,  ,,  ,,,,No information for prediction
4/30/2025,Armah Sports,B2B,FP-SPO-01201,,WAYAKIT GreenTech Sports Shower and tile cleaner [4 L],"Toilet, shower and tile cleaner",Gyms,Facilities management,4.0, SAR 15.16 , SAR 94.79 , SAR 0.024 ,"Price based on median generic product type - B2B: 0.0237 SAR/ml = 94.79 SAR, B2C: 0.0317 SAR/ml = 126.70 SAR. Price viable with 525.3% profit margin",3,1.0,236.1, SAR 236.10 , SAR 220.94 ,94%, SAR 59.03 , 4.0 , SAR 220.94 , SAR 141.31 ,149%,Wrong prediction,Pending,,,,,  ,  ,,  ,,59.05,2.9983065198983914,Wrong prediction
4/30/2025,Armah Sports,B2B,FP-AUT-00202,,WAYAKIT GreenTech Automotive Waterless car wash spray [4 L],Vehicle dry wash exterior cleaner,Automotive,Transportation,4.0, SAR 58.29 , SAR 581.56 , SAR 0.145 ,Price based on direct competition - Price viable with 897.6% profit margin,1,1.0,230.74, SAR 230.74 , SAR 172.44 ,75%, SAR 57.68 , 4.0 , SAR 172.44 , SAR (350.82),-60%,Wrong prediction,Pending,,,,,  ,  ,,  ,,58.86,2.9201495073054704,Wrong prediction
4/30/2025,Armah Sports,B2B,FP-SPO-00401,,WAYAKIT GreenTech Sports Non-slip floor cleaner for gym floors and exercise areas [4 L],Floor cleaner,Gyms,Facilities management,4.0, SAR 54.29 , SAR 83.20 , SAR 0.021 ,"Price based on median generic product type - B2B: 0.0208 SAR/ml = 83.20 SAR, B2C: 0.0409 SAR/ml = 163.49 SAR. Price viable with 53.2% profit margin",3,1.0,177.66, SAR 177.66 , SAR 123.37 ,69%, SAR 44.42 , 4.0 , SAR 123.37 , SAR 94.46 ,114%,Wrong prediction,Pending,,,,,  ,  ,,  ,,45.4,2.913215859030837,Wrong prediction
7/14/2025,T Sport,B2B,FP-SPO-02701,,WAYAKIT GreenTech Sports Hand soap gel [4 L],Hand soap,Gyms,Facilities management,4.0, SAR 14.64 , SAR -   , SAR -   ,No prediction,No prediction,5.0,42.5, SAR 212.50 , SAR 27.86 ,66%, SAR 10.63 , 20.0 , SAR 139.30 , SAR 42.50 ,,No information for prediction,Pending,,,,,  ,  ,,  ,,,,No information for prediction
7/14/2025,T Sport,B2B,FP-SPO-02801,,WAYAKIT GreenTech Sports Body wash gel [4 L],Body wash,Gyms,Facilities management,4.0, SAR 17.08 , SAR -   , SAR -   ,No prediction,No prediction,13.0,45.5, SAR 591.50 , SAR 28.42 ,62%, SAR 11.38 , 52.0 , SAR 369.46 , SAR 45.50 ,,No information for prediction,Pending,,,,,  ,  ,,  ,,,,No information for prediction
7/14/2025,T Sport,B2B,FP-SPO-00401,,WAYAKIT GreenTech Sports Non-slip floor cleaner for gym floors and exercise areas [4 L],Floor cleaner,Gyms,Facilities management,4.0, SAR 54.29 , SAR 83.20 , SAR 0.021 ,"Price based on median generic product type - B2B: 0.0208 SAR/ml = 83.20 SAR, B2C: 0.0409 SAR/ml = 163.49 SAR. Price viable with 53.2% profit margin",3,19.0,158.05," SAR 3,002.95 ", SAR 103.76 ,66%, SAR 39.51 , 76.0 ," SAR 1,971.36 ", SAR 74.85 ,90%,Wrong prediction,Pending,,,,,  ,  ,,  ,,45.4,2.481277533039648,Wrong prediction
7/14/2025,T Sport,B2B,FP-FMN-03600,,WAYAKIT GreenTech FM Manual dishwashing soap [4 L],Dishwashing soap,Facilities management,Facilities management,4.0, SAR 44.64 , SAR 105.96 , SAR 0.026 ,Price based on direct competition - Price viable with 137.4% profit margin,1,5.0,57.2, SAR 286.00 , SAR 12.56 ,22%, SAR 14.30 , 20.0 , SAR 62.80 , SAR (48.76),-46%,Wrong prediction,Pending,,,,,  ,  ,,  ,,59.05,-0.031329381879762815,Well prediction
7/14/2025,T Sport,B2B,FP-SPO-01001,,WAYAKIT GreenTech Sports Toilet bowl and urinal cleaner [4 L],"Toilet, shower and tile cleaner",Gyms,Facilities management,4.0, SAR 23.08 , SAR 94.79 , SAR 0.024 ,"Price based on median generic product type - B2B: 0.0237 SAR/ml = 94.79 SAR, B2C: 0.0317 SAR/ml = 126.70 SAR. Price viable with 310.7% profit margin",3,15.0,173.05," SAR 2,595.75 ", SAR 149.97 ,87%, SAR 43.26 , 60.0 ," SAR 2,249.55 ", SAR 78.26 ,83%,Wrong prediction,Pending,,,,,  ,  ,,  ,,,,No information for prediction
7/14/2025,T Sport,B2B,FP-SPO-01001,,WAYAKIT GreenTech Sports Toilet bowl and urinal cleaner [4 L],"Toilet, shower and tile cleaner",Gyms,Facilities management,4.0, SAR 23.08 , SAR 94.79 , SAR 0.024 ,"Price based on median generic product type - B2B: 0.0237 SAR/ml = 94.79 SAR, B2C: 0.0317 SAR/ml = 126.70 SAR. Price viable with 310.7% profit margin",3,15.0,173.05," SAR 2,595.75 ", SAR 149.97 ,87%, SAR 43.26 , 60.0 ," SAR 2,249.55 ", SAR 78.26 ,83%,Wrong prediction,Pending,,,,,  ,  ,,  ,,,,No information for prediction
7/14/2025,T Sport,B2B,FP-SPO-01301,,WAYAKIT GreenTech Sports Broad-spectrum disinfectant for surfaces [4 L],Disinfectant and cleaner,Gyms,Facilities management,4.0, SAR 15.16 , SAR 117.09 , SAR 0.029 ,Estimated price based on subindustry difference - products of Gyms are 0.0% cheaper than Aviation. Price viable with 672.3% profit margin,2,33.0,172.89," SAR 5,705.37 ", SAR 157.73 ,91%, SAR 43.22 , 132.0 ," SAR 5,205.09 ", SAR 55.80 ,48%,Well prediction,Pending,,,,,  ,  ,,  ,,45.88,2.7683086312118568,Wrong prediction
7/14/2025,T Sport,B2B,FP-SPO-01301,,WAYAKIT GreenTech Sports Broad-spectrum disinfectant for surfaces [4 L],Disinfectant and cleaner,Gyms,Facilities management,4.0, SAR 15.16 , SAR 117.09 , SAR 0.029 ,Estimated price based on subindustry difference - products of Gyms are 0.0% cheaper than Aviation. Price viable with 672.3% profit margin,2,33.0,172.89," SAR 5,705.37 ", SAR 157.73 ,91%, SAR 43.22 , 132.0 ," SAR 5,205.09 ", SAR 55.80 ,48%,Well prediction,Pending,,,,,  ,  ,,  ,,45.88,2.7683086312118568,Wrong prediction
7/14/2025,T Sport,B2B,FP-SPO-01301,,WAYAKIT GreenTech Sports Broad-spectrum disinfectant for surfaces [4 L],Disinfectant and cleaner,Gyms,Facilities management,4.0, SAR 15.16 , SAR 117.09 , SAR 0.029 ,Estimated price based on subindustry difference - products of Gyms are 0.0% cheaper than Aviation. Price viable with 672.3% profit margin,2,11.0,172.89," SAR 1,901.79 ", SAR 157.73 ,91%, SAR 43.22 , 44.0 ," SAR 1,735.03 ", SAR 55.80 ,48%,Well prediction,Pending,,,,,  ,  ,,  ,,45.88,2.7683086312118568,Wrong prediction
7/14/2025,T Sport,B2B,FP-SPO-01301,,WAYAKIT GreenTech Sports Broad-spectrum disinfectant for surfaces [4 L],Disinfectant and cleaner,Gyms,Facilities management,4.0, SAR 15.16 , SAR 117.09 , SAR 0.029 ,Estimated price based on subindustry difference - products of Gyms are 0.0% cheaper than Aviation. Price viable with 672.3% profit margin,2,9.0,172.89," SAR 1,556.01 ", SAR 157.73 ,91%, SAR 43.22 , 36.0 ," SAR 1,419.57 ", SAR 55.80 ,48%,Well prediction,Pending,,,,,  ,  ,,  ,,45.88,2.7683086312118568,Wrong prediction
7/14/2025,T Sport,B2B,FP-SPO-02901,,WAYAKIT GreenTech Sports Hand sanitizer gel  [4 L],Hand sanitizer,Gyms,Facilities management,4.0, SAR 44.24 , SAR -   , SAR -   ,No prediction,No prediction,6.0,57.12, SAR 342.72 , SAR 12.88 ,23%, SAR 14.28 , 24.0 , SAR 77.28 , SAR 57.12 ,,No information for prediction,Pending,,,,,  ,  ,,  ,,,,No information for prediction
6/2/2025,T Sport,B2B,FP-SPO-02003,,WAYAKIT GreenTech Sports Air freshener [Box of 12 units 700 mL],Air freshener,Gyms,Facilities management,8.4, SAR 65.02 , SAR 308.00 , SAR 0.037 ,"Price based on median generic product type - B2B: 0.0367 SAR/ml = 308.00 SAR, B2C: 0.0983 SAR/ml = 825.38 SAR. Price viable with 373.7% profit margin",3,2.0,350.64, SAR 701.28 , SAR 285.62 ,81%, SAR 41.74 , 16.8 , SAR 571.25 , SAR 42.64 ,14%,Well prediction,Pending,,,,,  ,  ,,  ,,89.88,2.9012016021361817,Wrong prediction
6/2/2025,T Sport,B2B,FP-SPO-00301,,WAYAKIT GreenTech Sports Streak-free glass cleaner for mirrors and windows [4 L],Glass cleaner,Gyms,Facilities management,4.0, SAR 16.68 , SAR 85.44 , SAR 0.021 ,"Price based on median generic product type - B2B: 0.0214 SAR/ml = 85.44 SAR, B2C: 0.0438 SAR/ml = 175.33 SAR. Price viable with 412.2% profit margin",3,8.0,95.42, SAR 763.36 , SAR 78.74 ,83%, SAR 23.86 , 32.0 , SAR 629.92 , SAR 9.98 ,12%,Well prediction,Pending,,,,,  ,  ,,  ,,59.05,0.6159187129551229,Wrong prediction
6/2/2025,Coast line,B2B,FP-RES-00101,,WAYAKIT GreenTech Food Services Food-grade sanitizer for countertops and prep areas [4 L],Disinfectant and cleaner,Restaurants,Horeca,4.0, SAR 15.16 , SAR 60.52 , SAR 0.015 ,Price based on direct competition - Price viable with 299.2% profit margin,1,2.0,60.52, SAR 121.04 , SAR 45.36 ,75%, SAR 15.13 , 8.0 , SAR 90.72 , SAR -   ,0%,Well prediction,Pending,,,,,  ,  ,,  ,,59.05,0.024894157493649552,Well prediction
6/2/2025,Coast line,B2B,FP-RES-00101,,WAYAKIT GreenTech Food Services Food-grade sanitizer for countertops and prep areas [4 L],Disinfectant and cleaner,Restaurants,Horeca,4.0, SAR 15.16 , SAR 60.52 , SAR 0.015 ,Price based on direct competition - Price viable with 299.2% profit margin,1,2.0,60.52, SAR 121.04 , SAR 45.36 ,75%, SAR 15.13 , 8.0 , SAR 90.72 , SAR -   ,0%,Well prediction,Pending,,,,,  ,  ,,  ,,59.05,0.024894157493649552,Well prediction
6/2/2025,Coast line,B2B,FP-RES-00401,,WAYAKIT GreenTech Food Services General sanitizer for vegetable and salad washing [4 L],Disinfectant and cleaner,Restaurants,Horeca,4.0, SAR 15.16 , SAR 117.30 , SAR 0.029 ,Price based on direct competition - Price viable with 673.7% profit margin,1,2.0,117.3, SAR 234.60 , SAR 102.14 ,87%, SAR 29.33 , 8.0 , SAR 204.28 , SAR -   ,0%,Well prediction,Pending,,,,,  ,  ,,  ,,59.05,0.9864521591871296,Wrong prediction
6/2/2025,Coast line,B2B,FP-RES-00601,,WAYAKIT GreenTech Food Services Glass cleaner [4 L],Glass cleaner,Restaurants,Horeca,4.0, SAR 16.68 , SAR 35.36 , SAR 0.009 ,Price based on direct competition - Price viable with 112.0% profit margin,1,2.0,35.36, SAR 70.72 , SAR 18.68 ,53%, SAR 8.84 , 8.0 , SAR 37.36 , SAR -   ,0%,Well prediction,Pending,,,,,  ,  ,,  ,,59.05,-0.40118543607112617,Wrong prediction
6/2/2025,Coast line,B2B,FP-RES-02201,,WAYAKIT GreenTech Food Services Gel hand sanitizer [4 L],Hand sanitizer,Restaurants,Horeca,4.0, SAR 55.24 , SAR 71.81 , SAR 0.018 ,"Price based on median generic product type - B2B: 0.0135 SAR/ml = 54.00 SAR, B2C: 0.0540 SAR/ml = 215.90 SAR. Low predicted price. Using minimum viable price with 30% profit margin.",3,2.0,57.12, SAR 114.24 , SAR 1.88 ,3%, SAR 14.28 , 8.0 , SAR 3.76 , SAR (14.69),-20%,Wrong prediction,Pending,,,,,  ,  ,,  ,,89.41,-0.361145285762219,Wrong prediction
6/2/2025,Coast line,B2B,FP-RES-02101,,WAYAKIT GreenTech Food Services Hand soap [4 L],Hand soap,Restaurants,Horeca,4.0, SAR 14.64 , SAR 42.50 , SAR 0.011 ,Price based on direct competition - Price viable with 190.3% profit margin,1,2.0,42.5, SAR 85.00 , SAR 27.86 ,66%, SAR 10.63 , 8.0 , SAR 55.72 , SAR -   ,0%,Well prediction,Pending,,,,,  ,  ,,  ,,59.05,-0.28027095681625736,Wrong prediction
6/2/2025,Coast line,B2B,FP-RES-02101,,WAYAKIT GreenTech Food Services Hand soap [4 L],Hand soap,Restaurants,Horeca,4.0, SAR 14.64 , SAR 42.50 , SAR 0.011 ,Price based on direct competition - Price viable with 190.3% profit margin,1,2.0,35.7, SAR 71.40 , SAR 21.06 ,59%, SAR 8.93 , 8.0 , SAR 42.12 , SAR (6.80),-16%,Wrong prediction,Pending,,,,,  ,  ,,  ,,59.05,-0.39542760372565616,Wrong prediction
6/2/2025,Coast line,B2B,FP-RES-00701,,WAYAKIT GreenTech Food Services Heavy-duty kitchen degreaser for grills and hoods [4 L],Degreaser,Restaurants,Horeca,4.0, SAR 13.97 , SAR 43.18 , SAR 0.011 ,Price based on direct competition - Price viable with 209.1% profit margin,1,2.0,43.18, SAR 86.36 , SAR 29.21 ,68%, SAR 10.80 , 8.0 , SAR 58.42 , SAR -   ,0%,Well prediction,Pending,,,,,  ,  ,,  ,,59.05,-0.2687552921253175,Wrong prediction
6/2/2025,Coast line,B2B,FP-RES-01601,,WAYAKIT GreenTech Food Services Metal polish for cookware and utensils [4 L],Stainless steel cleaner,Restaurants,Horeca,4.0, SAR 15.16 , SAR 73.03 , SAR 0.018 ,Price based on direct competition - Price viable with 381.8% profit margin,1,2.0,95.88, SAR 191.76 , SAR 80.72 ,84%, SAR 23.97 , 8.0 , SAR 161.44 , SAR 22.85 ,31%,Well prediction,Pending,,,,,  ,  ,,  ,,59.05,0.6237087214225233,Wrong prediction
6/2/2025,Coast line,B2B,FP-RES-00801,,WAYAKIT GreenTech Food Services Oven and fryer cleaner [4 L],Degreaser,Restaurants,Horeca,4.0, SAR 13.97 , SAR 44.55 , SAR 0.011 ,Price based on direct competition - Price viable with 218.9% profit margin,1,2.0,39.1, SAR 78.20 , SAR 25.13 ,64%, SAR 9.78 , 8.0 , SAR 50.26 , SAR (5.45),-12%,Wrong prediction,Pending,,,,,  ,  ,,  ,,59.05,-0.3378492802709568,Wrong prediction
6/2/2025,Coast line,B2B,FP-RES-02503,,WAYAKIT GreenTech Food Services Sewage odor control [Box of 12 units 700 mL],Odor eliminator,Restaurants,Horeca,8.4, SAR 79.97 , SAR -   , SAR -   ,No prediction,No prediction,1.0,167.92, SAR 167.92 , SAR 87.95 ,52%, SAR 19.99 , 8.4 , SAR 87.95 , SAR 167.92 ,,No information for prediction,Pending,,,,,  ,  ,,  ,,,,No information for prediction
6/2/2025,Coast line,B2B,FP-RES-01500,,WAYAKIT GreenTech Food Services Stainless steel polish for equipment and fixtures [700 mL],Stainless steel cleaner,Restaurants,Horeca,0.7, SAR 4.64 , SAR 18.98 , SAR 0.027 ,"Price based on median generic product type - B2B: 0.0271 SAR/ml = 18.98 SAR, B2C: 0.0831 SAR/ml = 58.17 SAR. Price viable with 309.2% profit margin",3,2.0,37.68, SAR 75.36 , SAR 33.04 ,88%, SAR 53.83 , 1.4 , SAR 66.08 , SAR 18.70 ,99%,Wrong prediction,Pending,,,,,  ,  ,,  ,,22.62,0.6657824933687002,Wrong prediction
6/2/2025,Coast line,B2B,FP-RES-01903,,WAYAKIT GreenTech Food Services Heavy-duty toilet and urinal cleaner [Box of 12 units 700 mL],"Toilet, shower and tile cleaner",Restaurants,Horeca,8.4, SAR 72.32 , SAR 199.06 , SAR 0.024 ,"Price based on median generic product type - B2B: 0.0237 SAR/ml = 199.06 SAR, B2C: 0.0317 SAR/ml = 266.07 SAR. Price viable with 175.2% profit margin",3,1.0,218.96, SAR 218.96 , SAR 146.64 ,67%, SAR 26.07 , 8.4 , SAR 146.64 , SAR 19.90 ,10%,Well prediction,Pending,,,,,  ,  ,,  ,,,,No information for prediction
6/2/2025,Coast line,B2B,FP-RES-01901,,WAYAKIT GreenTech Food Services Heavy-duty toilet and urinal cleaner [4 L],"Toilet, shower and tile cleaner",Restaurants,Horeca,4.0, SAR 23.08 , SAR 94.79 , SAR 0.024 ,"Price based on median generic product type - B2B: 0.0237 SAR/ml = 94.79 SAR, B2C: 0.0317 SAR/ml = 126.70 SAR. Price viable with 310.7% profit margin",3,2.0,46.24, SAR 92.48 , SAR 23.16 ,50%, SAR 11.56 , 8.0 , SAR 46.32 , SAR (48.55),-51%,Wrong prediction,Pending,,,,,  ,  ,,  ,,,,No information for prediction
6/2/2025,Coast line,B2B,FP-RES-00500,,WAYAKIT GreenTech Food Services Wood furniture cleaner [700 mL],Furniture polish,Restaurants,Horeca,0.7, SAR 11.49 , SAR 17.74 , SAR 0.025 ,Price based on direct competition - Price viable with 54.4% profit margin,1,8.0,17.74, SAR 141.92 , SAR 6.25 ,35%, SAR 25.34 , 5.6 , SAR 50.00 , SAR 0.00 ,0%,Well prediction,Pending,,,,,  ,  ,,  ,,22.62,-0.21573828470380205,Wrong prediction
6/2/2025,Coast line,B2B,FP-FMN-03700,,WAYAKIT GreenTech FM Empty bottle [700 mL],Other consumables,Facilities management,Facilities management,0.7, SAR 3.21 , SAR 16.02 , SAR 0.023 ,No product type. The median of Facilities management is 0.0229 SAR/ml and the recommended price per ml is 0.0229 SAR/ml. Price viable with 399.2% profit margin,4,1.0,3.1, SAR 3.10 , SAR (0.11),-4%, SAR 4.43 , 0.7 , SAR (0.11), SAR (12.92),-81%,Wrong prediction,Pending,,,,,  ,  ,,  ,,10.16,-0.6948818897637795,Wrong prediction
3/10/2025,Al Khozama,B2B,FP-FMN-00201,,WAYAKIT GreenTech Facilities Management Wood furniture cleaner [4 L],Furniture polish,Facilities management,Facilities management,4.0, SAR 54.29 , SAR 138.23 , SAR 0.035 ,Price based on direct competition - Price viable with 154.6% profit margin,1,1.0,332.4, SAR 332.40 , SAR 278.11 ,84%, SAR 83.10 , 4.0 , SAR 278.11 , SAR 194.17 ,140%,Wrong prediction,Pending,,,,,  ,  ,,  ,,50.46,5.5873959571938165,Wrong prediction
3/10/2025,Al Khozama,B2B,FP-FMN-00401,,WAYAKIT GreenTech Facilities Management Hard floor polish [4 L],Floor polish,Facilities management,Facilities management,4.0, SAR 54.29 , SAR 328.04 , SAR 0.082 ,"Price based on median generic product type - B2B: 0.0820 SAR/ml = 328.04 SAR, B2C: 0.1152 SAR/ml = 460.72 SAR. Price viable with 504.2% profit margin",3,1.0,106.28, SAR 106.28 , SAR 51.99 ,49%, SAR 26.57 , 4.0 , SAR 51.99 , SAR (221.76),-68%,Wrong prediction,Pending,,,,,  ,  ,,  ,,100.01,0.06269373062693727,Well prediction
3/10/2025,Al Khozama,B2B,FP-FMN-00301,,WAYAKIT GreenTech Facilities Management General hard floor cleaner  [4 L],Floor cleaner,Facilities management,Facilities management,4.0, SAR 15.16 , SAR 56.32 , SAR 0.014 ,Price based on direct competition - Price viable with 271.5% profit margin,1,1.0,106.29, SAR 106.29 , SAR 91.13 ,86%, SAR 26.57 , 4.0 , SAR 91.13 , SAR 49.97 ,89%,Wrong prediction,Pending,,,,,  ,  ,,  ,,61.55,0.7268887083671813,Wrong prediction
3/10/2025,Al Khozama,B2B,FP-FMN-00601,,WAYAKIT GreenTech Facilities Management High performance carpet shampoo [4 L],Carpet shampoo,Facilities management,Facilities management,4.0, SAR 37.63 , SAR 133.68 , SAR 0.033 ,Price based on direct competition - Price viable with 255.2% profit margin,1,1.0,190.4, SAR 190.40 , SAR 152.77 ,80%, SAR 47.60 , 4.0 , SAR 152.77 , SAR 56.72 ,42%,Well prediction,Pending,,,,,  ,  ,,  ,,63.14,2.015521064301552,Wrong prediction
3/10/2025,Al Khozama,B2B,FP-FMN-00701,,WAYAKIT GreenTech Facilities Management Stain spot remover [4 L],Stain remover,Facilities management,Facilities management,4.0, SAR 58.48 , SAR 248.40 , SAR 0.062 ,"Price based on median generic product type - B2B: 0.0621 SAR/ml = 248.40 SAR, B2C: 0.0854 SAR/ml = 341.67 SAR. Price viable with 324.8% profit margin",3,1.0,79.56, SAR 79.56 , SAR 21.08 ,27%, SAR 19.89 , 4.0 , SAR 21.08 , SAR (168.84),-68%,Wrong prediction,Pending,,,,,  ,  ,,  ,,77.43,0.02750871755133663,Well prediction
3/10/2025,Al Khozama,B2B,FP-FMN-01201,,WAYAKIT GreenTech Facilities Management Heavy-duty toilet and urinal cleaner [4 L],"Toilet, shower and tile cleaner",Facilities management,Facilities management,4.0, SAR 23.08 , SAR 65.54 , SAR 0.016 ,Price based on direct competition - Price viable with 184.0% profit margin,1,1.0,115.0, SAR 115.00 , SAR 91.92 ,80%, SAR 28.75 , 4.0 , SAR 91.92 , SAR 49.46 ,75%,Wrong prediction,Pending,,,,,  ,  ,,  ,,249.13,-0.5383936097619717,Wrong prediction
3/10/2025,Al Khozama,B2B,FP-FMN-01401,,WAYAKIT GreenTech Facilities Management Restroom air freshener [4 L],Air freshener,Facilities management,Facilities management,4.0, SAR 19.60 , SAR 146.67 , SAR 0.037 ,"Price based on median generic product type - B2B: 0.0367 SAR/ml = 146.67 SAR, B2C: 0.0983 SAR/ml = 393.04 SAR. Price viable with 648.3% profit margin",3,1.0,191.81, SAR 191.81 , SAR 172.21 ,90%, SAR 47.95 , 4.0 , SAR 172.21 , SAR 45.14 ,31%,Well prediction,Pending,,,,,  ,  ,,  ,,88.14,1.1761969593828001,Wrong prediction
3/10/2025,Al Khozama,B2B,FP-FMN-01601,,WAYAKIT GreenTech Facilities Management Streak-free glass cleaner for large window areas [4 L],Glass cleaner,Facilities management,Facilities management,4.0, SAR 16.68 , SAR 68.80 , SAR 0.017 ,Price based on direct competition - Price viable with 312.5% profit margin,1,1.0,73.36, SAR 73.36 , SAR 56.68 ,77%, SAR 18.34 , 4.0 , SAR 56.68 , SAR 4.56 ,7%,Well prediction,Pending,,,,,  ,  ,,  ,,55.65,0.31823899371069186,Well prediction
3/10/2025,Al Khozama,B2B,FP-FMN-01001,,WAYAKIT GreenTech Facilities Management Broad-spectrum disinfectant for surfaces and touchpoints [4 L],Disinfectant and cleaner,Facilities management,Facilities management,4.0, SAR 15.16 , SAR 55.20 , SAR 0.014 ,Price based on direct competition - Price viable with 264.1% profit margin,1,1.0,123.2, SAR 123.20 , SAR 108.04 ,88%, SAR 30.80 , 4.0 , SAR 108.04 , SAR 68.00 ,123%,Wrong prediction,Pending,,,,,  ,  ,,  ,,57.42,1.1455938697318007,Wrong prediction
3/10/2025,Al Khozama,B2B,FP-FMN-02301,,WAYAKIT GreenTech Facilities Management Stainless steel polish and cleaner for fixtures and fittings [4 L],Stainless steel cleaner,Facilities management,Facilities management,4.0, SAR 15.14 , SAR 125.51 , SAR 0.031 ,Price based on direct competition - Price viable with 728.9% profit margin,1,1.0,54.76, SAR 54.76 , SAR 39.62 ,72%, SAR 13.69 , 4.0 , SAR 39.62 , SAR (70.75),-56%,Wrong prediction,Pending,,,,,  ,  ,,  ,,83.57,-0.3447409357424913,Wrong prediction
3/10/2025,Al Khozama,B2B,FP-HOT-04901,,WAYAKIT GreenTech Hotels Leather cleaner [4 L],Leather and vinyl cleaner,Hotels,Horeca,4.0, SAR 15.16 , SAR 427.97 , SAR 0.107 ,Estimated price based on subindustry difference - products of Hotels are 0.0% cheaper than Home. Price viable with 2723.0% profit margin,2,1.0,88.0, SAR 88.00 , SAR 72.84 ,83%, SAR 22.00 , 4.0 , SAR 72.84 , SAR (339.97),-79%,Wrong prediction,Pending,,,,,  ,  ,,  ,,59.05,0.49026248941574946,Well prediction
